Parcel_ID|Municipality|Property_Address|Use_Code|Total_Rooms|Basement|Style|Bedrooms|Grade|Stories|Full_Baths|Condition|Year_Built|Half_Baths|Fireplaces|Exterior_Finish|Heating|Basement_Garage|Roof_Type|Cooling|Living_Area
0063-E-00340-0000-00|926 MT. LEBANON|922 N MEADOWCROFT AVE|SINGLE FAMILY|7|Full Basement|COLONIAL|3|C+|2|1|Average|1946|1|1|Brick|Central Heat|1|Slate|Central Air|
0063-E-00342-0000-00|926 MT. LEBANON|928 N MEADOWCROFT AVE|SINGLE FAMILY|7|Full Basement|COLONIAL|3|C+|2|1|Average|1948|0|1|Brick|Central Heat|1|Slate||
0063-E-00344-0000-00|926 MT. LEBANON|932 N MEADOWCROFT AVE|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|1|Average|1946|1|1|Brick|Central Heat|1|Slate|Central Air|
0063-E-00346-0000-00|926 MT. LEBANON|936 N MEADOWCROFT AVE|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|1|Average|1946|0|1|Brick|Central Heat|1|Slate|Central Air|
0063-E-00350-0000-00|926 MT. LEBANON|2407 MCMONAGLE AVE|SINGLE FAMILY|7|Full Basement|SPLIT LEVEL|3|C+|1|1|Average|1950|1|0|Brick|None|1|Shingle|Central Air|
0063-E-00356-0000-00|926 MT. LEBANON|933 N MEADOWCROFT AVE|SINGLE FAMILY|8|Full Basement|COLONIAL|4|C+|2|2|Average|1946|0|1|Brick|Central Heat|1|Shingle||
0063-E-00358-0000-00|926 MT. LEBANON|929 N MEADOWCROFT AVE|SINGLE FAMILY|8|Full Basement|COLONIAL|4|C+|2|2|Average|1946|1|2|Brick|None|1|Shingle||
0063-E-00360-0000-00|926 MT. LEBANON|921 N MEADOWCROFT AVE|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|1|Average|1941|0|1|Brick|Central Heat|1|Shingle|Central Air|
0063-E-00362-0000-00|926 MT. LEBANON|925 N MEADOWCROFT AVE|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|2|Average|1941|0|1|Brick|Central Heat|1|Shingle|Central Air|
0063-J-00010-0000-00|926 MT. LEBANON|1775 HELEN DR|SINGLE FAMILY|11|Full Basement|COLONIAL|4|B|2|3|Average|1958|0|1|Brick|Central Heat|2|Shingle|Central Air|
0063-J-00012-0000-00|926 MT. LEBANON|1771 HELEN DR|SINGLE FAMILY|9|Full Basement|SPLIT LEVEL|4|B|1|3|Average|1960|0|1|Stone|Central Heat|2|Shingle|Central Air|
0063-J-00014-0000-00|926 MT. LEBANON|1767 HELEN DR|SINGLE FAMILY|7|Full Basement|SPLIT LEVEL|4|B|1|3|Average|1960|1|2|Stone|Central Heat|2|Slate|Central Air|
0063-J-00016-0000-00|926 MT. LEBANON|1763 HELEN DR|SINGLE FAMILY|8|Full Basement|SPLIT LEVEL|4|B|1|3|Average|1959|0|2|Brick|Central Heat|2|Shingle|Central Air|
0063-J-00018-0000-00|926 MT. LEBANON|1759 HELEN DR|SINGLE FAMILY|9|Full Basement|SPLIT LEVEL|4|B|1|2|Average|1955|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00020-0000-00|926 MT. LEBANON|1715 HOLLY LN|SINGLE FAMILY|9|Full Basement|RANCH|4|B|1|2|Average|1945|1|1|Stone|Central Heat|2|Slate||
0063-J-00026-0000-00|926 MT. LEBANON|111 MORRISON DR|SINGLE FAMILY|8|Full Basement|SPLIT LEVEL|4|B-|1|2|Average|1960|1|1|Brick|Central Heat|2|Shingle|Central Air|
0063-J-00028-0000-00|926 MT. LEBANON|107 MORRISON DR|SINGLE FAMILY|8|Full Basement|SPLIT LEVEL|4|B-|1|3|Average|1960|0|1|Brick|Central Heat|2|Shingle|Central Air|
0063-J-00030-0000-00|926 MT. LEBANON|103 MORRISON DR|SINGLE FAMILY|7|Full Basement|COLONIAL|3|C+|2|2|Average|1962|1|1|Brick|Central Heat|0|Shingle|Central Air|
0063-J-00032-0000-00|926 MT. LEBANON|660 RIDGEFIELD AVE|SINGLE FAMILY|8|Full Basement|COLONIAL|4|B-|2|2|Average|1963|2|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00034-0000-00|926 MT. LEBANON|118 MORRISON DR|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|2|Average|1960|1|1|Brick|Central Heat|2|Shingle|Central Air|
0063-J-00036-0000-00|926 MT. LEBANON|122 MORRISON DR|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|2|Average|1959|1|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00038-0000-00|926 MT. LEBANON|126 MORRISON DR|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|2|Average|1960|1|1|Brick|Central Heat|2|Shingle|Central Air|
0063-J-00040-0000-00|926 MT. LEBANON|130 MORRISON DR|SINGLE FAMILY|8|Full Basement|COLONIAL|4|B-|2|2|Average|1964|1|0|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00042-0000-00|926 MT. LEBANON|134 MORRISON DR|SINGLE FAMILY|9|Full Basement|COLONIAL|5|B-|2|2|Average|1963|1|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00044-0000-00|926 MT. LEBANON|123 MORRISON DR|SINGLE FAMILY|8|Full Basement|COLONIAL|4|B-|2|2|Average|1963|1|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00046-0000-00|926 MT. LEBANON|119 MORRISON DR|SINGLE FAMILY|8|Full Basement|COLONIAL|4|B-|2|2|Average|1964|1|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00048-0000-00|926 MT. LEBANON|115 MORRISON DR|SINGLE FAMILY|8|Full Basement|COLONIAL|4|B-|2|2|Average|1964|1|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00066-0000-00|926 MT. LEBANON|1751 HELEN DR|SINGLE FAMILY|6|Full Basement|RANCH|3|B-|1|2|Average|1953|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00070-0000-00|926 MT. LEBANON|1747 HELEN DR|SINGLE FAMILY|7|Full Basement|CAPE COD|3|C+|1|2|Average|1950|0|1|Brick|Central Heat|1|Slate|Central Air|
0063-J-00072-0000-00|926 MT. LEBANON|1743 HELEN DR|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|1|Average|1950|1|1|Brick|Central Heat|1|Slate|Central Air|
0063-J-00074-0000-00|926 MT. LEBANON|1739 HELEN DR|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|1|Average|1951|1|1|Brick|Central Heat|1|Slate|Central Air|
0063-J-00076-0000-00|926 MT. LEBANON|1733 HELEN DR|TWO FAMILY|10|Full Basement|MULTI-FAMILY|4|C+|2|2|Average|1951|0|0|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00080-0000-00|926 MT. LEBANON|1726 HELEN DR|TWO FAMILY|8|Full Basement|MULTI-FAMILY|4|C+|2|2|Average|1951|0|0|Brick|Central Heat|2|Shingle||
0063-J-00082-0000-00|926 MT. LEBANON|1730 HELEN DR|TWO FAMILY|8|Full Basement|MULTI-FAMILY|4|C-|2|2|Fair|1951|0|0|Brick|Central Heat|2|Shingle||
0063-J-00086-0000-00|926 MT. LEBANON|1718 THEODAN DR|SINGLE FAMILY|8|Full Basement|RANCH|4|B-|1|2|Average|1951|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00088-0000-00|926 MT. LEBANON|1722 THEODAN DR|SINGLE FAMILY|5|Full Basement|OLD STYLE|2|C+|1|2|Average|1944|0|1|Brick|Central Heat|0|Slate||
0063-J-00090-0000-00|926 MT. LEBANON|1726 THEODAN DR|SINGLE FAMILY|4|Full Basement|RANCH|2|C+|1|2|Average|1951|0|1|Brick|Central Heat|2|Slate||
0063-J-00094-0000-00|926 MT. LEBANON|1730 THEODAN DR|SINGLE FAMILY|7|Full Basement|RANCH|2|C+|1|2|Average|1951|0|1|Brick|Central Heat|1|Slate|Central Air|
0063-J-00098-0000-00|926 MT. LEBANON|1734 THEODAN DR|SINGLE FAMILY|6|Full Basement|RANCH|3|C+|1|1|Average|1951|1|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00102-0000-00|926 MT. LEBANON|1738 THEODAN DR|SINGLE FAMILY|4|Full Basement|RANCH|2|C|1|1|Average|1952|0|1|Brick|Central Heat|1|Shingle||
0063-J-00106-0000-00|926 MT. LEBANON|1742 THEODAN DR|SINGLE FAMILY|7|Full Basement|RANCH|3|B|1|2|Average|1954|0|1|Brick|Central Heat|0|Slate|Central Air|
0063-J-00110-0000-00|926 MT. LEBANON|1746 THEODAN DR|SINGLE FAMILY|7|Full Basement|SPLIT LEVEL|3|C+|1|2|Average|1955|1|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00112-0000-00|926 MT. LEBANON|1750 THEODAN DR|SINGLE FAMILY|6|Full Basement|SPLIT LEVEL|3|C+|1|2|Average|1954|1|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00118-0000-00|926 MT. LEBANON|1754 THEODAN DR|SINGLE FAMILY|6|Full Basement|SPLIT LEVEL|3|B|1|2|Average|1956|0|1|Masonry & Frame|Central Heat|2|Slate|Central Air|
0063-J-00122-0000-00|926 MT. LEBANON|1758 THEODAN DR|SINGLE FAMILY|6|Full Basement|SPLIT LEVEL|3|C+|1|2|Average|1955|1|1|Masonry & Frame|Central Heat|2|Slate|Central Air|
0063-J-00124-0000-00|926 MT. LEBANON|1762 THEODAN DR|SINGLE FAMILY|8|Full Basement|RANCH|3|B|1|2|Average|1955|0|2|Brick|Central Heat|2|Slate|Central Air|
0063-J-00128-0000-00|926 MT. LEBANON|1782 THEODAN DR|SINGLE FAMILY|6|Full Basement|RANCH|3|C+|1|2|Average|1957|0|2|Brick|Central Heat|2|Slate|Central Air|
0063-J-00130-0000-00|926 MT. LEBANON|1786 THEODAN DR|SINGLE FAMILY|8|Full Basement|SPLIT LEVEL|4|B+|1|2|Good|1958|1|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-J-00132-0000-00|926 MT. LEBANON|1790 THEODAN DR|SINGLE FAMILY|7|Full Basement|SPLIT LEVEL|3|B|1|2|Average|1958|2|2|Brick|Central Heat|2|Slate|Central Air|
0063-J-00134-0000-00|926 MT. LEBANON|1794 THEODAN DR|SINGLE FAMILY|9|Full Basement|SPLIT LEVEL|4|B|1|3|Average|1956|0|2|Stone|Central Heat|2|Slate|Central Air|
0063-J-00136-0000-00|926 MT. LEBANON|1796 THEODAN DR|SINGLE FAMILY|9|Full Basement|RANCH|5|B|1|3|Average|1960|0|1|Stone|Central Heat|2|Shingle|Central Air|
0063-J-00138-0000-00|926 MT. LEBANON|1770 HELEN DR|SINGLE FAMILY|7|Full Basement|RANCH|4|B|1|3|Average|1957|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00142-0000-00|926 MT. LEBANON|1783 THEODAN DR|SINGLE FAMILY|7|Full Basement|RANCH|3|B|1|3|Average|1960|0|2|Stone|Central Heat|2|Slate|Central Air|
0063-J-00144-0000-00|926 MT. LEBANON|1779 THEODAN DR|SINGLE FAMILY|8|Full Basement|RANCH|4|C+|1|2|Average|1960|1|1|Stone|Central Heat|2|Shingle|Central Air|
0063-J-00146-0000-00|926 MT. LEBANON|1775 THEODAN DR|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|1|Average|1959|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00148-0000-00|926 MT. LEBANON|1771 THEODAN DR|SINGLE FAMILY|6|Full Basement|RANCH|3|C+|1|2|Average|1956|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00150-0000-00|926 MT. LEBANON|1767 THEODAN DR|SINGLE FAMILY|6|Full Basement|RANCH|3|C+|1|2|Average|1957|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00152-0000-00|926 MT. LEBANON|1763 THEODAN DR|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|2|Average|1957|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00156-0000-00|926 MT. LEBANON|1759 THEODAN DR|SINGLE FAMILY|6|Full Basement|RANCH|2|C+|1|2|Average|1955|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00158-0000-00|926 MT. LEBANON|1755 THEODAN DR|SINGLE FAMILY|6|Full Basement|RANCH|3|B|1|2|Average|1954|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00162-0000-00|926 MT. LEBANON|1751 THEODAN DR|SINGLE FAMILY|8|Full Basement|RANCH|4|C+|1|2|Average|1955|1|2|Stone|Central Heat|2|Slate|Central Air|
0063-J-00164-0000-00|926 MT. LEBANON|1747 THEODAN DR|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|2|Average|1956|0|2|Stone|Central Heat|2|Slate|Central Air|
0063-J-00166-0000-00|926 MT. LEBANON|1743 THEODAN DR|SINGLE FAMILY|7|Full Basement|RANCH|3|B|1|2|Average|1954|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00170-0000-00|926 MT. LEBANON|1739 THEODAN DR|SINGLE FAMILY|6|Full Basement|RANCH|3|B-|1|2|Average|1952|1|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00172-0000-00|926 MT. LEBANON|1735 THEODAN DR|SINGLE FAMILY|5|Full Basement|RANCH|2|C+|1|1|Average|1950|0|1|Brick|Central Heat|1|Slate|Central Air|
0063-J-00174-0000-00|926 MT. LEBANON|1731 THEODAN DR|SINGLE FAMILY|5|Full Basement|RANCH|2|C+|1|1|Average|1953|0|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00176-0000-00|926 MT. LEBANON|1727 THEODAN DR|SINGLE FAMILY|4|Full Basement|RANCH|2|C|1|2|Average|1952|0|1|Brick|Central Heat|1|Slate|Central Air|
0063-J-00178-0000-00|926 MT. LEBANON|1719 THEODAN DR|SINGLE FAMILY|6|Full Basement|CAPE COD|3|B-|1|2|Average|1952|1|1|Brick|Central Heat|3|Slate|Central Air|
0063-J-00182-0000-00|926 MT. LEBANON|1744 HELEN DR|SINGLE FAMILY|8|Full Basement|CAPE COD|3|B-|1.5|2|Average|1952|1|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00184-0000-00|926 MT. LEBANON|1718 HOLLY LN|SINGLE FAMILY|7|Full Basement|RANCH|3|B|1|2|Average|1954|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00188-0000-00|926 MT. LEBANON|1722 HOLLY LN|SINGLE FAMILY|6|Full Basement|RANCH|3|C+|1|2|Average|1951|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00190-0000-00|926 MT. LEBANON|1728 HOLLY LN|SINGLE FAMILY|8|Full Basement|CAPE COD|4|C+|1|3|Average|1954|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00192-0000-00|926 MT. LEBANON|1734 HOLLY LN|SINGLE FAMILY|7|Full Basement|RANCH|3|B|1|2|Average|1954|1|2|Stone|Central Heat|2|Slate|Central Air|
0063-J-00198-0000-00|926 MT. LEBANON|1738 HOLLY LN|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|2|Average|1954|0|1|Stone|Central Heat|0||Central Air|
0063-J-00200-0000-00|926 MT. LEBANON|1737 HOLLY LN|SINGLE FAMILY|7|Full Basement|RANCH|3|C+|1|2|Average|1956|0|1|Stone|Central Heat|0|Slate|Central Air|
0063-J-00204-0000-00|926 MT. LEBANON|1733 HOLLY LN|SINGLE FAMILY|9|Full Basement|RANCH|4|B|1|3|Average|1953|0|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00206-0000-00|926 MT. LEBANON|1727 HOLLY LN|SINGLE FAMILY|7|Full Basement|RANCH|3|B|1|2|Average|1953|0|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00208-0000-00|926 MT. LEBANON|1723 HOLLY LN|SINGLE FAMILY|6|Full Basement|RANCH|3|B-|1|2|Average|1953|1|1|Brick|Central Heat|2|Slate|Central Air|
0063-J-00212-0000-00|926 MT. LEBANON|1719 HOLLY LN|SINGLE FAMILY|7|Full Basement|RANCH|3|B-|1|2|Average|1953|1|1|Stone|Central Heat|2|Shingle|Central Air|
0063-J-00214-0000-00|926 MT. LEBANON|1762 HELEN DR|SINGLE FAMILY|8|Full Basement|RANCH|3|C+|1|2|Average|1959|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00216-0000-00|926 MT. LEBANON|1787 THEODAN DR|SINGLE FAMILY|8|Full Basement|SPLIT LEVEL|4|B|1|2|Average|1959|1|1|Stone|Central Heat|2|Slate|Central Air|
0063-J-00220-0000-00|926 MT. LEBANON|255 TWIN HILLS DR|SINGLE FAMILY|9|Full Basement|COLONIAL|5|B|2|2|Average|1975|1|1|Brick|Central Heat|2|Shingle|Central Air|
0063-J-00222-0000-00|926 MT. LEBANON|1774 HELEN DR|SINGLE FAMILY|8|Full Basement|CONTEMPORARY|4|B|2|2|Average|1980|0|1|Brick|Central Heat|2|Shingle|Central Air|
0063-N-00175-0000-00||||||||||||||||||||
0063-N-00179-0000-00|926 MT. LEBANON|1729 HELEN DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|6|B-|2|2|Average|1951|0|0|Brick|Central Heat|2|Shingle|Central Air|
0063-N-00180-0000-00|926 MT. LEBANON|1725 -1727 HELEN DR|TWO FAMILY|8|Full Basement|MULTI-FAMILY|4|C-|2|2|Average|1950|0||Brick|Central Heat|2|Shingle||
0063-N-00192-0000-00|926 MT. LEBANON|1689 MCFARLAND RD||||||||||||||||||
0063-N-00196-0000-00|926 MT. LEBANON|1685 MCFARLAND RD||||||||||||||||||
0063-N-00198-0000-00|926 MT. LEBANON|MCFARLAND RD||||||||||||||||||
0063-N-00206-0000-00|926 MT. LEBANON|MCFARLAND RD||||||||||||||||||
0063-N-00216-0000-00|926 MT. LEBANON|1655 MCFARLAND RD||||||||||||||||||
0063-N-00220-0001-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|1|Roll||
0063-N-00220-0002-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|3|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll|Central Air|
0063-N-00220-0003-00||||||||||||||||||||
0063-N-00220-0011-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0012-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|3|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0013-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|3|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0014-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0021-00||||||||||||||||||||
0063-N-00220-0022-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||2|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0023-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0024-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|3|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0031-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0032-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00220-0033-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||2|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Slate||
0063-N-00220-0034-00|926 MT. LEBANON|187 MORRISON DR|CONDOMINIUM|4|Slab||1|C|1|1|Average|1930|0|0|Brick|Central Heat|0|Roll||
0063-N-00224-0000-00|926 MT. LEBANON|183 MORRISON DR||||||||||||||||||
0063-N-00226-0000-00|926 MT. LEBANON|181 MORRISON DR|TWO FAMILY|4|Full Basement|MULTI-FAMILY|2|C+|2|1|Average|1929|0|1|Brick|Central Heat|0|Shingle||
0063-N-00228-0000-00|926 MT. LEBANON|179 MORRISON DR|TWO FAMILY|6|Full Basement|MULTI-FAMILY|2|C+|2|1|Average|1929|1|1|Brick|Central Heat|0|Shingle||
0063-N-00230-0000-00|926 MT. LEBANON|177 MORRISON DR|SINGLE FAMILY|6|Full Basement||2|C+|2|1|Average|1935|1|0|Brick|Central Heat|1|Slate||
0063-N-00232-0000-00|926 MT. LEBANON|175 MORRISON DR|SINGLE FAMILY|6|Full Basement||2|C+|2|1|Average|1929|1|0|Brick|Central Heat|1|Shingle||
0063-N-00234-0000-00|926 MT. LEBANON|171 MORRISON DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|6|B-|2|2|Average|1951|2|0|Brick|Central Heat|2|Shingle||
0063-N-00238-0000-00|926 MT. LEBANON|163 MORRISON DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|6|B-|2|2|Average|1930|0|2|Brick|Central Heat|2|Slate||
0063-N-00240-0000-00|926 MT. LEBANON|159 MORRISON DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|6|B-|2|2|Average|1929|0|2|Brick|Central Heat|2|Shingle||
0063-N-00242-0000-00|926 MT. LEBANON|155 MORRISON DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|6|C-|2|2|Average|1937|0|2|Stone|Central Heat|2|Slate||
0063-N-00244-0000-00|926 MT. LEBANON|151 MORRISON DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|5|B-|2|2|Average|1931|0|1|Brick|Central Heat|2|Slate||
0063-N-00246-0000-01|926 MT. LEBANON|147 MORRISON DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|6|C|2|2|Average|1941|0|0|Brick|Central Heat|2|Shingle||
0063-N-00248-0000-00|926 MT. LEBANON|143 MORRISON DR|TWO FAMILY|12|Full Basement|MULTI-FAMILY|6|C+|2|2|Average|1949|0|1|Brick|Central Heat|2|Shingle||
0063-N-00252-0000-00|926 MT. LEBANON|135 MORRISON DR|TWO FAMILY|7|Full Basement|MULTI-FAMILY|4|C+|2|1|Average|1960|1|1|Brick|Central Heat|2|Shingle|Central Air|
0063-N-00254-0000-00|926 MT. LEBANON|133 MORRISON DR|SINGLE FAMILY|9|Full Basement|COLONIAL|4|C+|2|2|Average|1960|1|1|Masonry & Frame|Central Heat|2|Shingle||
0063-N-00256-0000-00|926 MT. LEBANON|131 MORRISON DR|SINGLE FAMILY|8|Full Basement|SPLIT LEVEL|5|C+|1|2|Average|1963|1|0|Masonry & Frame|Central Heat|2|Shingle||
0063-N-00258-0000-00|926 MT. LEBANON|127 MORRISON DR|SINGLE FAMILY|9|Full Basement|COLONIAL|4|B-|2|2|Average|1963|1|1|Brick|Central Heat|2|Shingle||
0063-N-00268-0000-00|926 MT. LEBANON|138 MORRISON DR|SINGLE FAMILY|7|Full Basement|SPLIT LEVEL|3|B-|1|2|Average|1963|0|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-N-00270-0000-00|926 MT. LEBANON|142 MORRISON DR|SINGLE FAMILY|9|Full Basement|COLONIAL|5|B|2|2|Average|1963|1|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-N-00272-0000-00|926 MT. LEBANON|146 MORRISON DR|SINGLE FAMILY|8|Full Basement|COLONIAL|4|B-|2|2|Average|1964|1|1|Brick|Central Heat|2|Shingle|Central Air|
0063-N-00274-0000-00|926 MT. LEBANON|148 MORRISON DR|SINGLE FAMILY|7|Full Basement|SPLIT LEVEL|3|C+|1|2|Average|1963|1||Masonry & Frame|Central Heat|2|Shingle|Central Air|
